id	primary_name	subordinate_name_1	subordinate_name_2	number	dates	qualifier	source_id	rules_id	sort_name	authority_id
5677	Asia Foundation	NULL	NULL	NULL	NULL	NULL	237	NULL	Asia Foundation	n50002112
5683	Modern Humanities Research Association	NULL	NULL	NULL	NULL	NULL	237	NULL	Modern Humanities Research Association	n80067042
5684	Pierpont Morgan Library	NULL	NULL	NULL	NULL	NULL	237	NULL	Pierpont Morgan Library	n78095799
5694	Anti-defamation League	NULL	NULL	NULL	NULL	NULL	237	241	Anti-defamation League	no2008080186
5701	Madison Square Garden	(New York, N.Y. : 1925-1968)	NULL	NULL	NULL	NULL	237	242	Madison Square Garden. (New York, N.Y. : 1925-1968)	n2013040747
5703	Coronet Instructional Films	NULL	NULL	NULL	NULL	NULL	237	242	Coronet Instructional Films	n80098562
5705	Du Art Film Laboratories	NULL	NULL	NULL	NULL	NULL	237	242	Du Art Film Laboratories	nr00030897
5706	Apple Computer, Inc.	NULL	NULL	NULL	NULL	NULL	237	242	Apple Computer, Inc.	n84040978
5709	Princeton University	NULL	NULL	NULL	NULL	NULL	237	242	Princeton University	n79055384
5711	J.C. White Singers	NULL	NULL	NULL	NULL	NULL	237	NULL	J.C. White Singers	n95053342
5713	New York University	Jewish Culture Foundation	NULL	NULL	NULL	NULL	237	NULL	New York University. Jewish Culture Foundation	nr88001545
5714	Dropsie College for Hebrew and Cognate Learning	NULL	NULL	NULL	NULL	NULL	237	NULL	Dropsie College for Hebrew and Cognate Learning	n80020436
5716	New York University	Interactive Telecommunications Program	NULL	NULL	NULL	NULL	237	241	New York University. Interactive Telecommunications Program	n86856162
5721	University of Colorado	NULL	NULL	NULL	NULL	NULL	237	NULL	University of Colorado	no2009196646
5722	National Educational Television and Radio Center	NULL	NULL	NULL	NULL	NULL	237	NULL	National Educational Television and Radio Center	n80050382
5724	Twin Cities Public Television (Saint Paul, Minn.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Twin Cities Public Television (Saint Paul, Minn.)	n84000812
5725	KTCA-TV (Television station : Saint Paul, Minn.)	NULL	NULL	NULL	NULL	NULL	237	NULL	KTCA-TV (Television station : Saint Paul, Minn.)	n50073677
5726	New Century Club (Saint Paul, Minn.)	NULL	NULL	NULL	NULL	NULL	237	NULL	New Century Club (Saint Paul, Minn.)	n2002104188
5744	New York University	Department of Economics	NULL	NULL	NULL	NULL	237	241	New York University. Department of Economics	nr95011838
5746	State University of New York at Stony Brook	NULL	NULL	NULL	NULL	NULL	237	241	State University of New York at Stony Brook	n79034379
5750	Bureau of Social Hygiene (New York, N.Y.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Bureau of Social Hygiene (New York, N.Y.)	n80040318
5753	Consortium of Humanities Centers and Institutes	NULL	NULL	NULL	NULL	NULL	237	NULL	Consortium of Humanities Centers and Institutes	no90010831
5755	FilmFour (Firm)	NULL	NULL	NULL	NULL	NULL	237	NULL	FilmFour (Firm)	no2002030478
5756	Columbia University. School of the Arts	NULL	NULL	NULL	NULL	NULL	237	NULL	Columbia University. School of the Arts	no89007865
5760	WNDU-TV (Television station : South Bend, Ind.)	NULL	NULL	NULL	NULL	NULL	237	NULL	WNDU-TV (Television station : South Bend, Ind.)	no98107875
5761	Bronx Developmental Center	NULL	NULL	NULL	NULL	NULL	237	NULL	Bronx Developmental Center	n81030783
5762	Bronx State Developmental Center	NULL	NULL	NULL	NULL	NULL	237	NULL	Bronx State Developmental Center	n81030782
5763	Staten Island Developmental Center	NULL	NULL	NULL	NULL	NULL	237	NULL	Staten Island Developmental Center	n82258411
5764	Willowbrook State School	NULL	NULL	NULL	NULL	NULL	237	NULL	Willowbrook State School	n82258414
5765	Edna McConnell Clark Foundation	NULL	NULL	NULL	NULL	NULL	237	NULL	Edna McConnell Clark Foundation	n84038799
5766	Minnesota. Department of Corrections	NULL	NULL	NULL	NULL	NULL	237	NULL	Minnesota. Department of Corrections	n80098715
5767	Manhattan Detention Complex (New York, N.Y.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Manhattan Detention Complex (New York, N.Y.)	no2011111581
5768	Halls of Justice (New York, N.Y.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Halls of Justice (New York, N.Y.)	no2012012127
5769	United States. Bureau of Prisons	NULL	NULL	NULL	NULL	NULL	237	NULL	United States. Bureau of Prisons	n80126195
